"","X","title","label","platform"
"1",1,"Another Terrorist Attack in NYC...Why Are we STILL Being Politically Correct","real","buzzfeed"
"2",2,"Trump: Drugs a 'Very, Very Big Factor' in Charlotte Protests","real","buzzfeed"
"3",3,"Obama To UN: 'Giving Up Liberty, Enhances Security In America...' [VIDEO] | John Hawkins' Right Wing News","real","buzzfeed"
"4",4,"Trump vs. Clinton: A Fundamental Clash over How the Economy Works","real","buzzfeed"
"5",5,"President Obama Vetoes 9/11 Victims Bill","real","buzzfeed"
"6",6,"CHAOS! NC Protest MOB Ambushes Female Truck Driver, Loots Truck, Sets Cargo On Fire - No One Helps!? [VIDEO] | John Hawkins' Right Wing News","real","buzzfeed"
"7",7,"10 Moments That Mattered in 1st Clinton-Trump Debate","real","buzzfeed"
"8",8,"Young Girl's Emotional Speech Laments 'Shame' of Fatal Charlotte Shooting","real","buzzfeed"
"9",9,"Jeb Bush to lecture at Harvard this fall","real","buzzfeed"
"10",10,"Clinton vs. Trump: The debate before the debate","real","buzzfeed"
"11",11,"Is Hillary in a No-Win Situation?","real","buzzfeed"
"12",12,"Clinton on police shootings: 'too many people have lost their lives who shouldn't have'","real","buzzfeed"
"13",13,"Johnson: 'I<U+2019>m going to sleep well at the end of all this'","real","buzzfeed"
"14",14,"Anthony Weiner Under Federal Investigation for Alleged Sexting With a Minor","real","buzzfeed"
"15",15,"Senate Dems Move To Force Trump To Release His Tax Returns","real","buzzfeed"
"16",16,"Dem congressman to IRS: Audit the Trump Foundation","real","buzzfeed"
"17",17,"Caught on VIDEO: Armed Intruders Break in House<U+2026>Armed Resident Responds","real","buzzfeed"
"18",18,"Post-debate, Trump team hits moderator Holt for 'some hostile questions'","real","buzzfeed"
"19",19,"One Critically Wounded As Charlotte Police Endure Second Night Of RIOTS... [VIDEO] | John Hawkins' Right Wing News","real","buzzfeed"
"20",20,"Rouhani: Iran deal able to weather the election","real","buzzfeed"
"21",21,"Trump: <U+201C>How Can we LEAD When we Can<U+2019>t Even Control Our Own Cities?<U+201D> [VIDEO]","real","buzzfeed"
"22",22,"9 times Ted Cruz insulted Donald Trump before endorsing him","real","buzzfeed"
"23",23,"Critical counties: Wake County, NC, could put up a fight","real","buzzfeed"
"24",24,"Obama wears hat, breaking <U+2018>Politics 101<U+2019> rule on headgear","real","buzzfeed"
"25",25,"Clinton: <U+2018>The next 50 days will determine the next 50 years<U+2019>","real","buzzfeed"
