,X,text,label
1,1,Muslims BUSTED They Stole Millions In Govt Benefits,TRUE
2,2,Re Why Did Attorney General Loretta Lynch Plead The Fifth,TRUE
3,3,BREAKING Weiner Cooperating With FBI On Hillary Email Investigation,TRUE
4,4,PIN DROP SPEECH BY FATHER OF DAUGHTER Kidnapped And Killed By ISIS I have voted for Donald J Trump  100percentfedUpcom,TRUE
5,5,FANTASTIC TRUMP'S 7 POINT PLAN To Reform Healthcare Begins With A Bombshell  100percentfedUpcom,TRUE
6,6,Hillary Goes Absolutely Berserk On Protester At Rally Video,TRUE
7,7,BREAKING NYPD Ready To Make Arrests In Weiner CaseHillary Visited Pedophile Island At Least 6 TimesMoney Laundering Underage Sex PayforPlayProof of Inappropriate Handling Classified Information  100percentfedUpcom,TRUE
8,8,WOW WHISTLEBLOWER TELLS CHILLING STORY Of Massive Voter Fraud Trump Campaign Readies Lawsuit Against FL Sec Of Elections In Critical District VIDEO  100percentfedUpcom,TRUE
9,9,BREAKING CLINTON CLEAREDWas This A Coordinated Last Minute Trick To Energize Hillary's Base  100percentfedUpcom,TRUE
10,10,EVIL HILLARY SUPPORTERS Yell Fck TrumpBurn Truck Of Daddy Fishing With 2 Yr Son Over Of Trump BumperStickers VIDEO  100percentfedUpcom,TRUE
11,11,YIKES HILLARY GOES OFF THE RAILSPulls A Howard Dean Video,TRUE
12,12,SAY GOODBYE These 23 Hollywood Celebs Threatened To Leave The USLet's Hold Them To It  100percentfedUpcom,TRUE
13,13,NOT KIDDING Colleges Give Students Safe Spaces To Cry Over Trump WinThreaten Students Over ProTrump Chalkings,TRUE
14,14,BOOM MATH SHOWS Trump Would Have Beaten Obama In RomneyObama Election  100percentfedUpcom,TRUE
15,15,BOOM This Is How President Reagan Handled Protesters Negotiate What is there to negotiate Video  100percentfedUpcom,TRUE
16,16,TRUMP SUPPORTER GOT NUTS On MSNBC Reporter Covering AntiTrump Rioters Video,TRUE
17,17,TOMI LAHREN Has Special Message For Celebrities Who Said They'd Move To Canada If Trump Won VIDEO  100percentfedUpcom,TRUE
18,18,BoycottComedianROBERT DENIRO Wanted To Punch Trump In The FaceSupports AntiTrump RiotersNow Wants Americans To Support His New Movie VIDEO,TRUE
19,19,HES NEVER SOLD AN ORIGINAL PAINTING UNTIL NOWAnd This Ones Going In The White House,TRUE
20,20,SORRY LIBERALSYou Can Stop With The PetitionsHillary Did NOT Win The Popular Vote,TRUE
21,21,MARK CUBAN In The Event Donald Wins I Have No Doubt The Market TanksSo Here's What Really Happened VIDEO  100percentfedUpcom,TRUE
22,22,TRUMP SUPPORTER Whose Brutal Beating By Black Mob Was Caught On Video Asks What Happened To America VIDEO,TRUE
23,23,WOW WHITE Liberals Suggest Blacks Are Too Stupid To Get IDsCant Figure Out How To Use Internet VIDEO,TRUE
24,24,LOL BRITISH WIFE Of LIB ACTOR Who Said There Will Never Be A President Donald TrumpWarns Americans About PresidentElect Trump VIDEO,TRUE
25,25,EPIC TUCKER CARLSON Demolishes NYC Councilman Over Sanctuary Cities Video,TRUE
26,26,FUNNY SNLS SOLUTION To Democrat Election Denial Safe Space For Everyone Video,TRUE
27,27,DONALD TRUMP Calls Meeting With PressDresses Down Real Fake News Networks Everyone at CNN is a liar and you should be ashamed,TRUE
28,28,OOPS CRYBABY HAMILTON STARS Who Lectured Pence Haven't Voted In Years VIDEO  100percentfedUpcom,TRUE
29,29,WHITE TRUMPBASHING LIB Reprimanded On LIVE CNN Interview For Using NWord VIDEO,TRUE
30,30,BOOM Kellyanne Conway Shuts Down CNNs Cuomo,TRUE
31,31,SHARIA IN AMERICA How Minneapolis Muslims Are Still Being Recruited By Terrorists,TRUE
32,32,SHERIFF CLARKE On Obamas Final Days Obamas Like A Tenant Whos Been Evicted From A Property And Hes Gonna Trash The Place On The Way Out The Door VIDEO,TRUE
33,33,ANTITRUMP CROWD CHANTS Whats Better Than 11 Dead Cops 12 Dead CopsThree Police Officers Ambushed The Same Weekend Video,TRUE
34,34,Intl Community Still Financing Protecting Terrorists  Mother Agnes Vanessa Beeley on Syria,FAKE
35,35,FBI Director Comeys Leaked Memo Explains Why Hes Reopening the Clinton Email Case,FAKE
36,36,FBI REDUX Whats Behind New Probe into Hillary Clinton Emails,FAKE
37,37,PARTY CORRUPTION Clinton Campaign Directly Tied to Disgraced DNC Consultant,FAKE
38,38,Hillarys Russian Hack Hoax The Biggest Lie of This Election Season,FAKE
39,39,PARTNERS IN CRIME Goldman Sachs The Clintons  Wall Street,FAKE
40,40,WikiLeaks Hillary Clinton knew Saudi Qatar were funding ISIS  but still took their money for Foundation,FAKE
41,41,Hillary Clinton Jumps the Shark with Trumps Secret Russian Server Conspiracy Theory,FAKE
42,42,Prof Michel Chossudovsky discusses Hillary Clintons foreign policy  emerging nuclear risks,FAKE
43,43,Episode 159  SUNDAY WIRE TickTock USA with guests Dr Marcus Papadopoulos Basil Valentine,FAKE
44,44,KREMLIN Putin Congratulates Trump Hopes to Work Together Major Issues,FAKE
45,45,Americas Primal Scream David Icke Explains Reason for Trumps Election Result,FAKE
46,46,Mexicos Richest Oligarch Loses Billions on News of Trump Victory,FAKE
47,47,Beyonce Jay Z Hillary Clinton  You Dont Represent All Blacks Women,FAKE
48,48,VIDEO Female College Students Protesting Because Trump is a Rapist,FAKE
49,49,COLOR REV AGIT PROP George Soros MoveOn Agitators March on America  as Billionaire Instigator Sued,FAKE
50,50,Henningsen US AntiTrump Protests Similar to Soros Color Revolutions Abroad,FAKE
51,51,PostTrump Liberal Meltdown Counseling Cryins Therapy Dogs and Poetry,FAKE
52,52,Episode 160  SUNDAY WIRE Hail to the Deplorables with special guest Randy J,FAKE
53,53,CBS 60 Minutes Withheld Trumps Appeal to Stop Attacking Minorities and Ignored Reports of Attacks on Trump Supporters,FAKE
54,54,FLASHBACK  Hillary Clintons KKK Smear Against Trump was Democrat Strategy,FAKE
55,55,Hillary Clinton Supporters Now Calling for a Recount of Votes in Battleground States,FAKE
56,56,Hell Comes to Frogtown Alt Right and Triumph of Transhumanism,FAKE
57,57,EU Red Scare Brussels Passes New Resolution to Counter Russian Media Propaganda,FAKE
58,58,The Amish In America Commit Their Vote To Donald Trump Mathematically Guaranteeing Him A Presidential Victory  ABC News,FAKE
59,59,Obama Signs Executive Order Declaring Investigation Into Election Results Revote Planned For Dec 19th  ABC News,FAKE
60,60,A Tale Of Two Cities Mosul And Aleppo,FAKE
61,61,New Alaska Law Taking First Step Against Common Core,FAKE
62,62,Military Veteran Bonus Scandal Might Be Much Worse Than Initially Reported,FAKE
63,63,NATO US And UK Assemble Largest Troop Buildup On Russian Border Since Cold War,FAKE
64,64,Destruction of US Abrams Tank Mosul Offensive Good for General Dynamics,FAKE
65,65,A Conundrum of the Current Political Season,FAKE
66,66,Liberty or State Control You Decide,FAKE
67,67,Snowden Journalists Are a Threatened Class in Era of Mass Surveillance,FAKE
68,68,We Now Have Proof Obamacare Was Designed to Fail and Heres Why,FAKE
69,69,NoFly Zone Declared as Militarized Police Prep for Assault on FrontLine Camp at Standing Rock,FAKE
70,70,Anonymity The Greatest Weapon Against Oppression,FAKE
71,71,US Takes A Stab At A No Fly Zone In Two Places  Syria And Standing Rock,FAKE
72,72,5 Things You Need to Know About the Dakota Access Pipeline Protests,FAKE
73,73,Americans Preparing for Strong Possibility of Violence on Election Day,FAKE
74,74,Irony Redefined Human Rights Champion Suu Kyi Jails Dissidents,FAKE
75,75,We Live In A Time Where Each Individual Has Immense Power,FAKE
76,76,Technocracy The Real Reason Why The UN Wants Control Over The Internet,FAKE
77,77,Financial Whistleblower Explains Whats About to Happen to the Economy,FAKE
78,78,Distracted By Election 2016 No One Resisted The Deep States Patriot Act 2,FAKE
79,79,How HUD Makes Lousy Programs Look Great,FAKE
80,80,On The Fault Lines of Change GlobalizationvLocalization,FAKE
81,81,Blaming Russia For Everything Wrong in the US is Getting Dangerous,FAKE
82,82,FBI Reopens Hillary Email Probe Why Did It Take So Long,FAKE
83,83,Restaurant Chain Tim Hortons Blocks Independent Journalists Website on WiFi,FAKE
84,84,Russia Kicked Off UN Human Rights Council While Terrorist Saudi Arabia ReElected,FAKE
85,85,Like a Concentration Camp Police Mark DAPL Protesters with Numbers and Lock Them in Dog Kennels,FAKE
86,86,Mark Ruffalo Delivers Mobile Solar Trailers to Standing Rock Camps in Preparation for Harsh Winter,FAKE
87,87,Cancer Cancer Everywhere  But Not In The Presidential Suite,FAKE
88,88,The Globalization Of Media A Failing Strike Force,FAKE
89,89,Heres Why Everyone On Facebook Is Checking Into Standing Rock North Dakota,FAKE
90,90,Chinas Airport Security Robot Can Deliver Electroshocks,FAKE
91,91,Russia Japan May Finally Sign Peace Treaty to Officially End WWII Conflict,FAKE
92,92,Biggest Election Fraud In History Discovered In The United States,FAKE
93,93,DAPL Protesters Proven Right as Largest Gas Pipeline in US Experiences Massive and Deadly Explosion,FAKE
94,94,Not Just Hillary Entire Obama Administration Exposed for Using Private Email to Avoid FOIA Requests,FAKE
95,95,Former Ambassador Andrew Young Calls for End to Water Fluoridation Civil Rights Issue,FAKE
96,96,Johnson  Johnson Loses Yet Another Multimillion Dollar Case Over Baby Powder,FAKE
97,97,Latest Assault on Aleppo West Covers Up TerrorTies,FAKE
98,98,Obamacare forces companies to drop workers from private insurance,FAKE
